body_forms,body_html,body_noCharacters,body_noDistinctWords,body_noFunctionWords,body_noWords,body_richness,body_suspension,body_verifyYourAccount,send_diffSenderReplyTo,send_noCharacters,send_noWords,send_nonModalSenderDomain,subj_bank,subj_noCharacters,subj_noWords,subj_reply,subj_richness,url_atSymbol,url_linkText,url_maxNoPeriods,url_noDomains,url_noExtLinks,url_noImgLinks,url_noIntLinks,url_noIpAddresses,url_noLinks,url_noPorts,url_nonModalHereLinks,url_ports,label
FALSE,TRUE,1529,104,16,183,0.119686069,FALSE,FALSE,FALSE,37,4,TRUE,FALSE,19,2,FALSE,0.105263158,FALSE,FALSE,3,5,3,3,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,5311,214,5,287,0.054038787,FALSE,FALSE,FALSE,33,3,TRUE,FALSE,39,8,FALSE,0.205128205,FALSE,TRUE,3,7,10,8,1,1,11,0,FALSE,FALSE,H
FALSE,TRUE,358130,4646,0,4657,0.013003658,FALSE,FALSE,FALSE,41,2,FALSE,FALSE,60,13,FALSE,0.216666667,FALSE,FALSE,0,2,0,0,0,0,0,0,FALSE,FALSE,H
FALSE,TRUE,5700,173,18,237,0.041578947,FALSE,TRUE,FALSE,37,2,TRUE,FALSE,34,7,FALSE,0.205882353,FALSE,FALSE,0,3,1,0,2,0,3,0,FALSE,FALSE,H
FALSE,TRUE,8234,277,12,833,0.101165897,FALSE,FALSE,FALSE,58,4,TRUE,FALSE,45,6,FALSE,0.133333333,FALSE,TRUE,2,4,2,0,2,0,4,0,FALSE,FALSE,H
FALSE,TRUE,2355,129,1,177,0.075159236,FALSE,FALSE,FALSE,49,5,TRUE,FALSE,38,7,FALSE,0.184210526,FALSE,TRUE,4,8,6,2,2,0,8,0,FALSE,FALSE,H
TRUE,TRUE,32365,1171,39,2332,0.072053144,FALSE,FALSE,FALSE,44,3,TRUE,FALSE,58,8,FALSE,0.137931034,FALSE,FALSE,4,18,57,3,36,0,93,0,FALSE,FALSE,H
FALSE,TRUE,521,61,1,80,0.153550864,FALSE,FALSE,TRUE,38,2,TRUE,FALSE,21,4,FALSE,0.19047619,FALSE,FALSE,2,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,1535,123,2,187,0.121824104,FALSE,FALSE,FALSE,53,3,TRUE,FALSE,26,3,FALSE,0.115384615,FALSE,TRUE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,3630,181,7,272,0.074931129,FALSE,FALSE,FALSE,39,5,TRUE,FALSE,27,4,FALSE,0.148148148,FALSE,FALSE,2,4,3,0,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,5241,329,2,572,0.109139477,FALSE,FALSE,FALSE,38,2,TRUE,FALSE,30,5,FALSE,0.166666667,FALSE,TRUE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,997,72,6,122,0.122367101,FALSE,FALSE,FALSE,31,3,TRUE,FALSE,41,7,FALSE,0.170731707,FALSE,FALSE,0,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,9679,289,15,463,0.04783552,FALSE,FALSE,FALSE,41,3,TRUE,FALSE,39,8,FALSE,0.205128205,FALSE,TRUE,3,8,8,3,2,0,10,0,TRUE,FALSE,H
FALSE,TRUE,6268,288,0,649,0.1035418,FALSE,FALSE,TRUE,33,1,TRUE,FALSE,19,2,FALSE,0.105263158,FALSE,FALSE,2,7,5,1,3,0,8,0,FALSE,FALSE,H
FALSE,FALSE,436,65,7,75,0.172018349,FALSE,FALSE,FALSE,37,2,TRUE,FALSE,54,13,FALSE,0.240740741,FALSE,FALSE,7,2,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,10200,188,12,421,0.04127451,FALSE,FALSE,FALSE,17,1,TRUE,FALSE,49,8,FALSE,0.163265306,FALSE,FALSE,3,6,34,16,0,0,34,0,FALSE,FALSE,H
FALSE,TRUE,2265,110,4,193,0.085209713,FALSE,FALSE,FALSE,39,3,TRUE,FALSE,16,2,FALSE,0.125,FALSE,TRUE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,FALSE,164,25,2,31,0.18902439,FALSE,FALSE,TRUE,55,3,TRUE,FALSE,5,1,FALSE,0.2,FALSE,FALSE,3,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,9505,311,13,630,0.066280905,FALSE,FALSE,FALSE,33,3,TRUE,FALSE,33,6,FALSE,0.181818182,FALSE,TRUE,3,4,6,4,3,0,9,0,FALSE,FALSE,H
FALSE,TRUE,1929,128,28,210,0.108864697,FALSE,FALSE,FALSE,45,5,TRUE,FALSE,29,6,FALSE,0.206896552,FALSE,FALSE,3,3,1,0,1,0,2,0,FALSE,FALSE,H
TRUE,TRUE,19705,720,7,1755,0.089063689,FALSE,FALSE,FALSE,44,3,TRUE,FALSE,13,2,FALSE,0.153846154,FALSE,FALSE,2,8,6,0,1,0,7,0,FALSE,FALSE,H
FALSE,TRUE,3553,150,8,283,0.079650999,FALSE,FALSE,FALSE,25,2,TRUE,FALSE,22,4,FALSE,0.181818182,TRUE,FALSE,4,8,9,2,4,0,13,0,FALSE,FALSE,H
FALSE,TRUE,147390,1706,0,1920,0.013026664,FALSE,FALSE,FALSE,46,3,TRUE,FALSE,51,7,FALSE,0.137254902,FALSE,FALSE,3,2,0,0,10,0,10,0,FALSE,FALSE,H
FALSE,TRUE,1541,23,0,23,0.014925373,FALSE,FALSE,FALSE,67,2,TRUE,FALSE,33,5,FALSE,0.151515152,FALSE,FALSE,0,2,0,0,4,0,4,0,FALSE,FALSE,H
FALSE,TRUE,1087,81,7,145,0.133394664,FALSE,FALSE,FALSE,40,3,TRUE,FALSE,56,8,FALSE,0.142857143,FALSE,TRUE,2,3,1,0,1,0,2,0,TRUE,FALSE,H
FALSE,TRUE,586,42,0,48,0.081911263,FALSE,FALSE,FALSE,22,2,TRUE,FALSE,18,2,FALSE,0.111111111,FALSE,FALSE,2,2,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,572,43,6,82,0.143356643,FALSE,FALSE,FALSE,24,2,TRUE,FALSE,19,2,FALSE,0.105263158,FALSE,FALSE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,3014,216,0,296,0.098208361,FALSE,FALSE,TRUE,54,6,TRUE,FALSE,16,3,FALSE,0.1875,FALSE,FALSE,3,5,3,1,2,0,5,0,FALSE,FALSE,H
FALSE,TRUE,7484,228,3,432,0.057723143,FALSE,FALSE,FALSE,31,2,TRUE,FALSE,51,10,FALSE,0.196078431,FALSE,FALSE,4,5,4,1,1,0,5,0,FALSE,FALSE,H
FALSE,TRUE,955,36,4,68,0.071204188,FALSE,FALSE,FALSE,31,3,TRUE,FALSE,24,3,FALSE,0.125,FALSE,TRUE,2,3,1,0,0,0,1,0,TRUE,FALSE,H
FALSE,TRUE,2856,105,4,256,0.089635854,TRUE,FALSE,FALSE,45,4,TRUE,FALSE,30,4,FALSE,0.133333333,TRUE,TRUE,2,3,1,0,1,0,2,0,TRUE,FALSE,H
FALSE,TRUE,1661,95,4,123,0.074051776,FALSE,FALSE,FALSE,36,3,TRUE,FALSE,6,2,TRUE,0.333333333,FALSE,FALSE,2,4,2,0,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,913,57,4,76,0.083242059,FALSE,FALSE,FALSE,47,3,TRUE,TRUE,42,8,FALSE,0.19047619,FALSE,FALSE,3,3,3,1,0,0,3,0,FALSE,FALSE,H
FALSE,TRUE,885,91,1,108,0.122033898,FALSE,FALSE,FALSE,12,1,TRUE,FALSE,28,5,FALSE,0.178571429,FALSE,FALSE,3,3,2,1,1,0,3,0,FALSE,FALSE,H
FALSE,FALSE,425,65,6,75,0.176470588,FALSE,FALSE,FALSE,31,2,TRUE,FALSE,54,13,FALSE,0.240740741,FALSE,FALSE,7,2,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,FALSE,165,25,2,31,0.187878788,FALSE,FALSE,TRUE,60,3,TRUE,FALSE,14,2,FALSE,0.142857143,FALSE,FALSE,3,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,26191,964,14,2027,0.077392998,FALSE,FALSE,FALSE,30,1,TRUE,FALSE,34,5,FALSE,0.147058824,FALSE,FALSE,4,9,24,3,30,0,54,0,FALSE,FALSE,H
FALSE,TRUE,7261,289,6,624,0.085938576,FALSE,FALSE,FALSE,30,3,TRUE,FALSE,19,2,FALSE,0.105263158,FALSE,FALSE,3,4,3,2,6,0,9,0,FALSE,FALSE,H
FALSE,TRUE,6607,289,7,660,0.099894052,FALSE,FALSE,FALSE,31,4,TRUE,FALSE,14,2,FALSE,0.142857143,FALSE,TRUE,3,4,2,3,7,0,9,0,TRUE,FALSE,H
FALSE,TRUE,1702,97,12,145,0.08519389,FALSE,FALSE,FALSE,28,2,TRUE,FALSE,28,5,FALSE,0.178571429,FALSE,FALSE,3,7,5,1,1,0,6,0,FALSE,FALSE,H
FALSE,TRUE,41366,540,0,540,0.013054199,FALSE,FALSE,FALSE,25,2,FALSE,FALSE,17,2,FALSE,0.117647059,FALSE,FALSE,0,2,0,0,0,0,0,0,FALSE,FALSE,H
FALSE,TRUE,8672,186,4,581,0.066997232,FALSE,FALSE,FALSE,34,1,TRUE,FALSE,37,7,FALSE,0.189189189,FALSE,TRUE,3,5,19,17,0,0,19,0,FALSE,FALSE,H
FALSE,TRUE,2473,35,0,35,0.014152851,FALSE,FALSE,FALSE,45,3,TRUE,FALSE,34,6,FALSE,0.176470588,FALSE,FALSE,0,1,0,0,8,0,8,0,FALSE,FALSE,H
FALSE,TRUE,12130,622,36,1100,0.090684254,FALSE,FALSE,FALSE,48,2,TRUE,FALSE,20,3,FALSE,0.15,FALSE,FALSE,0,10,13,9,4,0,17,0,FALSE,FALSE,H
FALSE,TRUE,20476,658,27,1499,0.073207658,FALSE,FALSE,FALSE,50,5,TRUE,FALSE,38,6,FALSE,0.157894737,FALSE,TRUE,3,9,29,7,19,0,48,0,FALSE,FALSE,H
FALSE,TRUE,3234,175,16,393,0.121521336,FALSE,FALSE,FALSE,37,3,TRUE,FALSE,22,3,FALSE,0.136363636,FALSE,TRUE,1,3,1,0,1,0,2,0,TRUE,FALSE,H
FALSE,TRUE,5706,159,7,580,0.101647389,FALSE,FALSE,FALSE,32,3,TRUE,FALSE,26,5,FALSE,0.192307692,FALSE,TRUE,1,4,2,0,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,7277,210,8,810,0.111309606,FALSE,FALSE,FALSE,26,2,TRUE,FALSE,29,5,FALSE,0.172413793,FALSE,TRUE,4,3,1,0,0,0,1,0,TRUE,FALSE,H
FALSE,TRUE,30699,403,0,405,0.013192612,FALSE,FALSE,FALSE,32,2,FALSE,FALSE,54,8,FALSE,0.148148148,FALSE,FALSE,0,2,0,0,0,0,0,0,FALSE,FALSE,H
FALSE,TRUE,1512,92,1,99,0.06547619,FALSE,FALSE,TRUE,31,3,TRUE,FALSE,28,4,FALSE,0.142857143,FALSE,FALSE,3,5,5,2,1,0,6,0,FALSE,FALSE,H
FALSE,TRUE,14635,535,22,1370,0.093611206,FALSE,FALSE,FALSE,35,2,TRUE,FALSE,34,10,FALSE,0.294117647,FALSE,FALSE,3,8,23,11,11,0,34,0,FALSE,FALSE,H
FALSE,TRUE,2812,137,10,208,0.073968706,FALSE,FALSE,FALSE,29,2,TRUE,FALSE,99,18,TRUE,0.181818182,FALSE,FALSE,3,4,3,1,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,8637,328,9,834,0.096561306,FALSE,FALSE,FALSE,39,2,TRUE,FALSE,23,3,FALSE,0.130434783,FALSE,FALSE,3,4,4,1,4,0,8,0,FALSE,FALSE,H
FALSE,TRUE,1332,99,12,165,0.123873874,FALSE,FALSE,FALSE,28,2,TRUE,FALSE,26,3,FALSE,0.115384615,FALSE,TRUE,3,5,3,1,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,2782,137,10,208,0.074766355,FALSE,FALSE,FALSE,33,3,TRUE,FALSE,94,17,TRUE,0.180851064,FALSE,FALSE,3,5,4,1,1,0,5,0,FALSE,FALSE,H
FALSE,TRUE,2355,129,1,177,0.075159236,FALSE,FALSE,FALSE,49,5,TRUE,FALSE,38,7,FALSE,0.184210526,FALSE,TRUE,4,8,6,2,2,0,8,0,FALSE,FALSE,H
FALSE,TRUE,77335,1203,5,1431,0.018503912,FALSE,FALSE,FALSE,34,1,TRUE,FALSE,44,10,FALSE,0.227272727,FALSE,FALSE,2,10,23,11,1,0,24,0,FALSE,FALSE,H
FALSE,FALSE,3123,43,0,43,0.013768812,FALSE,FALSE,FALSE,32,2,FALSE,FALSE,23,3,FALSE,0.130434783,FALSE,FALSE,0,1,0,0,0,0,0,0,FALSE,FALSE,H
FALSE,TRUE,5318,214,5,287,0.053967657,FALSE,FALSE,FALSE,33,3,TRUE,FALSE,39,8,FALSE,0.205128205,FALSE,TRUE,3,6,9,8,1,1,10,0,FALSE,FALSE,H
TRUE,TRUE,12412,519,29,1053,0.084837254,FALSE,TRUE,FALSE,64,4,FALSE,FALSE,40,6,FALSE,0.15,FALSE,FALSE,4,14,25,8,25,0,50,0,FALSE,FALSE,H
FALSE,TRUE,1095,97,5,114,0.104109589,FALSE,FALSE,FALSE,35,3,TRUE,FALSE,3,1,TRUE,0.333333333,FALSE,FALSE,2,4,2,0,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,7894,217,6,690,0.087408158,FALSE,FALSE,FALSE,48,2,TRUE,FALSE,23,3,FALSE,0.130434783,FALSE,TRUE,3,4,5,1,0,0,5,0,FALSE,FALSE,H
FALSE,TRUE,59165,773,0,775,0.013098961,FALSE,FALSE,FALSE,26,2,FALSE,FALSE,53,6,FALSE,0.113207547,FALSE,FALSE,0,2,0,0,0,0,0,0,FALSE,FALSE,H
FALSE,TRUE,1493,94,7,155,0.103817816,FALSE,FALSE,FALSE,28,2,TRUE,FALSE,27,4,FALSE,0.148148148,FALSE,FALSE,2,5,3,1,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,5531,217,12,565,0.10215151,FALSE,FALSE,FALSE,42,3,TRUE,FALSE,34,5,FALSE,0.147058824,FALSE,TRUE,3,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,1671,102,13,168,0.1005386,TRUE,FALSE,FALSE,23,2,TRUE,FALSE,24,4,FALSE,0.166666667,FALSE,TRUE,2,6,4,1,1,0,5,0,FALSE,FALSE,H
FALSE,TRUE,3803,241,5,498,0.130949251,FALSE,FALSE,FALSE,37,3,TRUE,FALSE,31,4,FALSE,0.129032258,TRUE,FALSE,3,5,3,0,3,0,6,0,FALSE,FALSE,H
